Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [26880/49000 (55%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 3 [28160/49000 (57%)]	Train Loss: nan	Val Loss: nan	Val Acc: 6.875
Train Epoch: 3 [29440/49000 (60%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 3 [30720/49000 (63%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.84375
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.28125
Train Epoch: 3 [33280/49000 (68%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.4375
Train Epoch: 3 [34560/49000 (70%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.28125
Train Epoch: 3 [35840/49000 (73%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 3 [37120/49000 (76%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.0625
Train Epoch: 3 [38400/49000 (78%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75
Train Epoch: 3 [39680/49000 (81%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.96875
Train Epoch: 3 [40960/49000 (84%)]	Train Loss: nan	Val Loss: nan	Val Acc: 7.96875
Train Epoch: 3 [42240/49000 (86%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 3 [43520/49000 (89%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.59375
Train Epoch: 3 [44800/49000 (91%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.125
Train Epoch: 3 [46080/49000 (94%)]	Train Loss: nan	Val Loss: nan	Val Acc: 9.21875
Train Epoch: 3 [47360/49000 (97%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.90625
Train Epoch: 3 [48640/49000 (99%)]	Train Loss: nan	Val Loss: nan	Val Acc: 8.75

test set: Average loss: nan, Accuracy: 1000/10000 (10%)

